C02173V02619,Area of Residence,TLIST(Q1),Quarter,STATISTIC,Statistic Label,UNIT,VALUE
FR,France,20121,2012Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.8
FR,France,20121,2012Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,29
FR,France,20122,2012Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,129
FR,France,20122,2012Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.5
FR,France,20122,2012Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,63
FR,France,20123,2012Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,129
FR,France,20123,2012Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,10.6
FR,France,20123,2012Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,66
FR,France,20124,2012Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,71
FR,France,20124,2012Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.6
FR,France,20124,2012Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,31
FR,France,20131,2013Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,84
FR,France,20131,2013Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.9
FR,France,20131,2013Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,37
FR,France,20132,2013Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,144
FR,France,20132,2013Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.1
FR,France,20132,2013Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,60
FR,France,20133,2013Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,130
FR,France,20133,2013Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.7
FR,France,20133,2013Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,72
FR,France,20134,2013Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,75
FR,France,20134,2013Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.4
FR,France,20134,2013Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,31
FR,France,20141,2014Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,69
FR,France,20141,2014Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,7.6
FR,France,20141,2014Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,25
FR,France,20142,2014Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,149
FR,France,20142,2014Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9
FR,France,20142,2014Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,64
FR,France,20143,2014Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,150
FR,France,20143,2014Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.5
FR,France,20143,2014Q3,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,78
FR,France,20144,2014Q4,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,88
FR,France,20144,2014Q4,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.3
FR,France,20144,2014Q4,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,34
FR,France,20151,2015Q1,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,88
FR,France,20151,2015Q1,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.1
FR,France,20151,2015Q1,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,33
FR,France,20152,2015Q2,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,160
FR,France,20152,2015Q2,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,8.5
FR,France,20152,2015Q2,TMQ09C3,Expenditure by Overseas Travellers in Ireland (excluding fares),Euro Million,78
FR,France,20153,2015Q3,TMQ09C1,Overseas Trips to Ireland by Non-Residents,Thousand,156
FR,France,20153,2015Q3,TMQ09C2,Average Length of Stay by Overseas Travellers to Ireland,Nights,9.8
